Date,PlayerID,SessionType,Duration
2018-04-08,1,Skills,90.0
2018-04-09,1,Speed,30.0
2018-04-16,1,Skills,30.0
2018-04-17,1,Skills,15.0
2018-05-07,1,Skills,90.0
2018-05-08,1,Speed,40.0
2018-06-03,1,,
2018-06-04,1,Mobility/Recovery,30.0
2018-06-05,1,Speed,30.0
2018-07-16,1,Skills,60.0
2018-04-08,2,Skills,60.0
2018-04-10,2,Skills,60.0
2018-04-17,2,Skills,30.0
2018-05-07,2,Skills,60.0
2018-05-08,2,Speed,15.0
2018-06-04,2,Mobility/Recovery,45.0
2018-06-05,2,Speed,20.0
2018-07-16,2,Speed,20.0
2018-01-23,3,Skills,30.0
2018-04-08,3,Skills,60.0
2018-04-09,3,Skills,90.0
2018-04-10,3,Skills,90.0
2018-04-16,3,,
2018-04-17,3,Skills,30.0
2018-05-07,3,Skills,90.0
2018-05-08,3,Speed,30.0
2018-06-03,3,,
2018-06-04,3,,
2018-06-05,3,Speed,30.0
2018-07-15,3,,
2018-07-16,3,Speed,30.0
2018-01-23,4,Conditioning,45.0
2018-04-10,4,Speed,30.0
2018-05-07,4,Skills,90.0
2018-05-08,4,Speed,30.0
2018-06-05,4,Skills,60.0
2018-01-23,5,Conditioning,30.0
2018-04-08,5,Skills,40.0
2018-04-09,6,Speed,40.0
2018-04-10,6,Skills,40.0
2018-04-16,6,Strength,60.0
2018-04-17,6,Speed,30.0
2018-05-07,6,Speed,60.0
2018-05-08,6,Conditioning,6.0
2018-06-04,6,Skills,80.0
2018-06-05,6,Skills,70.0
2018-04-08,7,Skills,45.0
2018-04-09,7,Skills,75.0
2018-04-10,7,Skills,75.0
2018-04-16,7,,
2018-04-17,7,Skills,20.0
2018-05-07,7,Skills,60.0
2018-05-08,7,Skills,45.0
2018-06-04,7,Mobility/Recovery,60.0
2018-06-05,7,Speed,20.0
2018-07-15,7,,
2018-07-16,7,Skills,60.0
2018-04-09,8,Skills,100.0
2018-04-10,8,Speed,30.0
2018-05-08,8,Speed,20.0
2018-06-03,8,,
2018-06-05,8,Speed,25.0
2018-04-08,10,Skills,60.0
2018-04-09,10,Skills,76.0
2018-04-17,10,Skills,40.0
2018-05-08,10,Skills,75.0
2018-06-04,10,Speed,60.0
2018-06-05,10,Conditioning,60.0
2018-07-15,10,,
2018-07-16,10,Speed,25.0
2018-04-08,11,Skills,40.0
2018-04-09,11,Skills,60.0
2018-04-10,11,Skills,45.0
2018-04-16,11,,
2018-04-17,11,Skills,35.0
2018-05-07,11,Skills,75.0
2018-05-08,11,Skills,75.0
2018-06-03,11,,
2018-06-04,11,Mobility/Recovery,30.0
2018-06-05,11,Speed,30.0
2018-07-15,11,,
2018-07-16,11,Skills,90.0
2018-04-09,12,Skills,60.0
2018-04-17,12,Strength,30.0
2018-06-04,12,Speed,45.0
2018-04-08,13,Skills,40.0
2018-04-10,13,Speed,20.0
2018-04-16,13,Mobility/Recovery,10.0
2018-04-17,13,Strength,20.0
2018-05-07,13,Skills,90.0
2018-05-08,13,Speed,15.0
2018-06-04,13,Mobility/Recovery,20.0
2018-06-05,13,Skills,60.0
2018-07-15,13,,
2018-07-16,13,Speed,20.0
2018-04-08,14,Skills,60.0
2018-04-10,14,Skills,90.0
2018-05-07,14,Skills,90.0
2018-05-08,14,Conditioning,30.0
2018-06-05,14,Speed,10.0
2018-04-09,15,Skills,90.0
2018-04-16,15,Speed,40.0
2018-05-07,15,Skills,60.0
2018-05-08,15,Speed,30.0
2018-04-08,16,Skills,50.0
2018-04-09,16,Skills,45.0
2018-04-10,16,Skills,45.0
2018-04-16,16,,
2018-04-17,16,Strength,45.0
2018-05-07,16,Skills,60.0
2018-05-08,16,Skills,60.0
2018-06-03,16,,
2018-06-04,16,Mobility/Recovery,90.0
2018-06-05,16,Skills,60.0
2018-07-15,16,,
2018-07-16,16,Speed,20.0
2018-04-09,17,Speed,30.0
2018-04-10,17,Conditioning,20.0
2018-04-16,17,Speed,40.0
2018-04-17,17,Skills,30.0
2018-06-04,17,Speed,30.0
2018-06-05,17,Skills,90.0
